campaign_name, widget_name, title, description, price, category, subcategory, url, image_urls, product_id, other_data, model, dimensiune
emex.ro,Produse Emex.ro,Vopsea Lavabila Practica Neomatt Plus,"Vopseaua Lavabila Practica de Interior &ldquo;Neomatt Plus&ldquo; este un produs economic de dispersie, pe baza de polimeri acrilici in dispersie de tip &ldquo;Latex&ldquo;, aditivi specifici, pigmenti si fileri, cu aderenta buna la suport si aspect mat, foarte avantajos ca raport calitate/ pret, destinat finisarii tencuielilor interioare, noi sau vechi, pereti si tavane.Desi ieftin, in conditiile unei corecte pregatiri corecte a suportului, acest tip de vopsea asigura o acoperire foarte buna, cu randament mare, grad superior de alb si pelicula ireprosabila.Produsul este de culoare alba.",213.21 RON,1361,,https://emex.ro/lavabila-interior-neomatt-plus,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-lavabila-emulsionata-interior-practica.jpg,5946143060424,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila Siliconica Interior “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila Siliconica de Interior &ldquo;Emex&rdquo; - un produs de dispersie, solubil in apa, pe baza de rasini siliconice si copolimeri acrilo-stirenici, aditivi specifici si fileri, cu proprietati superioare de pelicula, elasticitate si flexibilitate deosebite, pentru finisarea tencuielilor interioare, mai ales in cladiri noi sau expuse vibratiilor.Acest tip de vopsea lavabila, in afara elasticitatii exceptionale, are avantajul ca nu permite murdariei sa adere la suport, aceasta putand fi indepartata prin spalare, avand capacitate de autocuratare, datorata &ldquo;Efectului de Lotus&rdquo;.Poate fi colorata industrial in nuante din cartele de culori pentru vopsele lavabile, sau cu paste de colorare compatibile, fabricate sau recomandate de producatorul &ldquo;Romtehnochim&rdquo;.",402.07 RON,1361,,https://emex.ro/lavabila-siliconica-interior,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-emulsionata-lavabila-siliconica-interior.jpg,5946143060431,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila Silicatica Interior “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila Silicatica de Interior &ldquo;Emex&rdquo; - un produs profesional, de inalta calitate, pe baza de silicat de potasiu, regasit in literatura de specialitate si sub numele de &ldquo;apa de sticla&rdquo;, pigmenti, stabilizatori si aditivi speciali de hidrofobizare. Realizeaza o pelicula cu proprietati superioare, cu grad de alb ridicat, aderenta si rezistenta foarte mari, dar mai ales, cu duritate excelenta si capacitate de autocuratare datorata &ldquo;efectului de Lotus&rdquo;.Spre deosebire de vopselele clasice (acrilice, vinilice), aceasta vopsea nu doar formeaza doar o pelicula pe suprafata aplicata, ci patrunde in suport, formand corp comun cu aceasta si consolidandu-l.Este un produs profesional, de aplicare strict specializata, utilizat pentru finisarea suprafetelor interioare.Se poate colora doar industrial. Folosirea de paste de colorare, indiferent de provenienta, este contraindicata.",395.56 RON,1361,,https://emex.ro/lavabila-silicatica-interior,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-emulsionata-silicatica-interior.jpg,5946143060509,,,
emex.ro,Produse Emex.ro,Vopsea Superlavabila Exterior “Emex” - Alb - Bid. 15 L,"Vopsea Superlavabila de Exterior &ldquo;Emex&rdquo; fabricata pe baza de polimeri acrilici de tip Latex, este un produs de dispersie, solubil in apa, de calitate superioara, pentru zugravirea suprafetelor exterioare. Are aspect mat, putere mare de acoperire, aderenta foarte buna la suport, rezistenta la umiditate si la radiatiile UV.Respectarea instructiunilor de aplicare, specifice pentru aceasta vopsea lavabila, va asigura o rezistenta mare la intemperii, fara deteriorarea aspectului. Desi nu este creata ca vopsea antimicrobiana, are totusi in compozitie compusi ecologici (fara biocizi), care asigura prevenirea aparitiei fungilor si mucegaiurilor.Se fabrica in orice nuanta conform paletarului de culori, sau poate fi colorata cu paste speciale de colorare, doar fabricate sau recomandate de producatorul &ldquo;Romtehnochim&rdquo;.",300.55 RON,1361,,https://emex.ro/superlavabila-exterior-emex,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-emulsionata-superlavabila-exterior.jpg,5946143060516,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila Siliconica Exterior “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila Siliconica de Exterior &ldquo;Emex&rdquo; - fabricata ca produs emulsionat de dispersie, pe baza de rasini siliconice si polimeri acrilici, aditivi specifici si fileri, este utilizata pentru finisarea decorativa superioara a tencuielilor exterioare, realizand un grad de alb ridicat, aderenta foarte mare si etalare excelenta.Produsul exceleaza prin elasticitatea superioara a peliculei finale. Prezinta, de asemenea, si caracteristica de autocuratare, datorata &ldquo;efectului de Lotus&rdquo;, ce nu permite murdariei sa persiste pe suport si, se remarca atat prin puterea mare de acoperire, cat si prin caracteristicile generale superioare de performanta.In procesul de fabricatie, nuantarea se poate realiza in orice culoare din paletarele de culori recunoscute. Folosirea de paste de nuantare este conditionata de compatibilitatea cu rasina folosita la fabricare. Vor fi folosite doar paste de colorare produse sau recomandate de producatorul &#8220;Romtehnochim&#8221;.",396.63 RON,1361,,https://emex.ro/lavabila-siliconica-exterior,https://emex.ro/images/vopsele-emex/lavabile/mari/Superlavabila-siliconica-emulsionata-exterior.jpg,5946143060585,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila Silicatica Exterior “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila Silicatica de Exterior &ldquo;Emex&rdquo; - este un produs de dispersie, hidrosolubil, emulsionat, pe baza de silicat de potasiu, si aditivi speciali, pentru finisarea suprafetelor exterioare ale cladirilor, cu grad de alb ridicat, aderenta superioara, duritate foarte mare, lavabilitate excelenta si rezistenta mare la factori de mediu.Acest tip de vopsea lavabila are o duritate excelenta si nu permite murdariei sa afecteze suprafata pe care a fost aplicata, datorita &ldquo;efectului de Lotus&rdquo; ce va genera fenomenul de autocuratare. Desigur, urmele de murdarie se indeparteaza cu usurinta, prin spalare cu apa din abundenta si cu, eventual, solutii de curatare.Este prima recomandare pentru lucrarile de restaurare a cladirilor.Colorarea se va face doar industrial. Folosirea de paste de colorare este interzisa, indiferent de provenienta.",534.36 RON,1361,,https://emex.ro/lavabila-silicatica-exterior,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-emulsionata-lavabila-silicatica-exterior.jpg,5946143060653,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila Exterior Economica “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila Economica de Exterior &ldquo;Neomatt&rdquo; - este un produs de dispersie, solubil in apa, pe baza de polimeri acrilici de tip &ldquo;Latex&rdquo; cu adaos de aditivi specifici, pigmenti si fileri, cu grad ridicat de alb, aderenta buna la suport, buna etalare si aspect mat, destinat cu precadere finisarii suprafetelor exterioare, in scopul protejarii suprafelor impotriva factorilor de mediu si, a asigurarii unui aspect decorativ placut.In conditiile unei corecte pregatiri a suportului, acest tip de vopsea lavabila de exterior va asigura caracteristici superioare de pelicula, la preturi scazute, cu randament superior si performante optime.Produsul este de culoare alba.",275.43 RON,1361,,https://emex.ro/lavabila-exterior-neomatt,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-lavabila-emulsionata-exterior-economica.jpg,5946143060660,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila de Corectie “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila de Corectie &#8220;Emex Optiplus&#8221; - un produs profesional, solubil in apa, pe baza de polimeri acrilo-stirenici cu aditivi speciali, pigmenti, fileri si adaos de compusi ecologici (fara biocizi), de ultima generatie pentru prevenirea igrasiei, cu putere mare de acoperire si grad superior de alb, destinat zugravelilor interioare.Aceasta vopsea lavabila are un caracter neconventional, prin faptul ca vireaza de la roz in stare umeda, la alb in stare uscata, datorita efectului generat de continutul de carbinolul din formulare. Este o caracteristica ce permite control maxim la aplicare, pentru obtinerea unei pelicule superioare, perfect uniforme, marind semnificativ economicitatea produsului, si permitand in acelasi timp vizualizarea gradului de finisare al peliculei finale.Este un produs realizat doar in culoare alba, ce nu se coloreaza, datorita scopului sau fundamental, de corectie.",278.10 RON,1361,,https://emex.ro/lavabila-interior-efect-optic,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-lavabila-efect-culoare.jpg,5946143060677,,,
emex.ro,Produse Emex.ro,Vopsea Lavabila cu Perle Reflectorizante “Emex” - Alb - Bid. 15 L,"Vopsea Lavabila Reflectorizanta &#8220;Emex&#8221; - este un produs de dispersie, de aplicare strict profesionala, pe baza de copolimeri acrilici, aditivi specifici, pigmenti si fileri speciali, cu putere mare de acoperire si aspect final deosebit, destinat zugravelilor decorative interioare. Perlele de sticla se livreaza separat, si se aplica prin suflareAplicarea microsferelor de sticla determina rezistente excelente, lavabilitate foarte mare si un efect decorativ special, datorat capacitatii perlelor de sticla de a reflecta lumina, suprafetele astfel vopsite devenind luminiscente.Datorita faptului ca microperlele se aplica prin suflare pe vopseaua uda, aceasta poate fi colorata in orice nuanta la livrare, sau ulterior, utilizand paste de colorare compatibile, produse sau recomandate de &#8220;Romtehnochim&#8221;.",472.92 RON,1361,,https://emex.ro/vopsea-lavabila-reflectorizanta,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-reflectorizanta-cu-microperle.jpg,5946143060684,,,
emex.ro,Produse Emex.ro,Vopsea Elastomerica Exterior “Emex Flexio” - Alb - Bid. 20 Kg,"Vopsea Elastomerica pentru Tencuieli Exterioare &ldquo;Emex Flexio&rdquo; - produs profesional, specializat, cu textura cauciucata, realizat din polimeri acrilici in dispersie apoasa, cu caracteristici exceptionale de pelicula, remarcandu-se prin elasticitate foarte mare si rezistenta excelenta la actiunea factorilor distructivi de mediu: intemperii, variatii de temperatura, radiatii UV, saruri chimice, apa sau umezeala in exces, ploi acide sau murdare, etc. Caracteristicile superioare de aderenta, elasticitate si flexibilitate permit folosirea acestei vopsele pentru aplicatii diverse, atat decorative cat si de protectie. Produsul este indicat pentru utilizarea in zonele expuse la apa, dar si pentru cele expuse la vibratii, trepidatii, zgomote, miscari tectonice, etc., asigurand o stabilitate excelenta fata de riscul de fisurare, mai ales in cazul constructiilor noi, care &ldquo;nu s-au asezat&rdquo;. Este utilizata de asemenea si pentru acoperirea izolatiilor din spuma poliuretanica, pentru care asigura rezistenta mare la apa, intemperii, sau alti factori agresivi de mediu, dar mai ales rezistenta la radiatii UV. Vopseaua elastomerica de exterior poate fi colorata in diverse nuante, insa doar industrial.",566.20 RON,1361,,https://emex.ro/vopsea-elastomerica-tencuieli-exterior,https://emex.ro/images/vopsele-emex/lavabile/mari/Vopsea-elastomerica-fatade.jpg,5946143068406,,,
